,Unnamed: 0,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,occupancy_lst,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
222,229.0,Manhattan,Modern 1 Bedroom 4FL w/Marble Bthr,Entire apartment,1500.0,Tny,80,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
75 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n75 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
223,230.0,Manhattan,Fabulously Located Comfortable 3 Bedroom Loft,Entire loft,2530.0,E.C.,460,4.5,"['8 guests', '3 bedrooms', '6 beds', '1 bath', '󰀄
46 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '3 bedrooms'"", "" '6 beds'"", "" '1 bath'"", "" '\U000f0004\n46 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
224,231.0,Manhattan,Manhattan Upper East Side 1bedroom,Entire apartment,1740.0,Susie,1810,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
245 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n245 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
225,232.0,Manhattan,Prime Location Sun Filled West Village Townhome,Entire apartment,2020.0,Cate,1830,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
330 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n330 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
226,233.0,Manhattan,Amazing Downtown With Rooftop,Entire apartment,2280.0,Jake,2110,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
492 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n492 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
227,234.0,Manhattan,Fabulously Located Comfortable 3 Bedroom Loft,Entire loft,2530.0,E.C.,460,4.5,"['8 guests', '3 bedrooms', '6 beds', '1 bath', '󰀄
46 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '3 bedrooms'"", "" '6 beds'"", "" '1 bath'"", "" '\U000f0004\n46 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
228,235.0,Manhattan,Amazing Downtown With Rooftop,Entire apartment,2280.0,Jake,2110,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
492 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n492 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
229,236.0,Manhattan,Authentic Midtown Manhattan Studio,Entire apartment,1350.0,Vicente,310,5.0,"['4 guests', 'Studio', '2 beds', '1 bath', '󰀄
53 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n53 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
230,237.0,Manhattan,DaDukes Dreams,Private room in house,850.0,Alberto,660,5.0,"['4 guests', '1 bedroom', '3 beds', '2 shared baths', '󰀄
398 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '2 shared baths'"", "" '\U000f0004\n398 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
231,238.0,Manhattan,1 Bedroom/1 Livingroom on 21st and 8th in Chelsea,Entire apartment,1450.0,Katie Knapp,330,5.0,"['3 guests', '2 bedrooms', '3 beds', '1 bath', '󰀄
33 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n33 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
232,239.0,Manhattan,Manhattan Upper East Side 1bedroom,Entire apartment,1740.0,Susie,1810,4.5,"['4 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
245 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n245 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
233,240.0,Manhattan,"Light, Large Apt Near Central Park",Entire apartment,1950.0,Jane,1640,4.5,"['7 guests', '3 bedrooms', '3 beds', '1 bath', '󰀄
391 Reviews', '󰀙
Verified']","[""['7 guests'"", "" '3 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n391 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
234,241.0,Manhattan,Entire 1BR Apt in Manhattanville,Entire condominium,940.0,Corey,610,4.5,"['4 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
64 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n64 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
235,242.0,Manhattan,Room can fit 3 people in Manhattan close to subway,Private room in apartment,650.0,Julianna,120,5.0,"['3 guests', '1 bedroom', '2 beds', '1 shared bath', '󰀄
52 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 shared bath'"", "" '\U000f0004\n52 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
236,243.0,Manhattan,"Sunny West Village apt, 2 beds",Entire apartment,1500.0,Aspen,310,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
43 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n43 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
237,244.0,Manhattan,Paradise in New York City 2,Entire apartment,270.0,Shama,130,5.0,"['6 guests', '2 bedrooms', '3 beds', '2 baths', '󰀄
81 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\U000f0004\n81 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
238,245.0,Manhattan,Beautiful Apartment near Times Square Central Park,Entire apartment,2410.0,Ash,940,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
94 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n94 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
239,246.0,Manhattan,1 BEDROOM SUITE IN HARLEM FAMILY TOWNHOUSE,Entire apartment,2000.0,Maribel,1750,5.0,"['4 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
182 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n182 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
240,247.0,Manhattan,Great renovated studio in the heart of Manhattan,Entire apartment,1450.0,Shirley,740,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '󰀄
74 Reviews']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n74 Reviews']""]",[,"""",[,',,,
241,248.0,Manhattan,Modern Clean Studio 2 blocks from Central Park,Entire apartment,1450.0,Eugene,1640,4.5,"['4 guests', 'Studio', '0 beds', '1 bath', '󰀄
1065 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '0 beds'"", "" '1 bath'"", "" '\U000f0004\n1065 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
242,249.0,Manhattan,"Quiet, tranquil room in the middle of everything!",Private room in apartment,1490.0,Eddie,1210,4.5,"['4 guests', '1 bedroom', '1 bed', '2 shared baths', '󰀄
1 Review', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '2 shared baths'"", "" '\U000f0004\n1 Review'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
243,250.0,Manhattan,Fascinating Modern Apartment - 5 mins Time Square,Entire apartment,2000.0,Edison,1210,4.5,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '󰀄
147 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n147 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
244,251.0,Manhattan,"Beautiful spacious one bedroom, upper east side",Entire apartment,1800.0,Julia,920,5.0,"['3 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
92 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n92 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
245,252.0,Manhattan,"Beautiful spacious one bedroom, upper east side",Entire apartment,1800.0,Julia,920,5.0,"['3 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
92 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n92 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
246,253.0,Manhattan,Large 1 bedroom loft GREAT location,Entire apartment,2890.0,Chi,1470,4.5,"['8 guests', '1 bedroom', '4 beds', '1 bath', '󰀄
162 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '1 bedroom'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n162 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
247,254.0,Manhattan,MODERN STYLISH PENTHOUSE SUITE @ CENTRAL PARK,Entire apartment,1660.0,Gregory,520,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
147 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n147 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
248,255.0,Manhattan,Sophisticated Harlem True 2BR NYC,Entire apartment,1950.0,Enid,1330,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
136 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n136 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
249,256.0,Manhattan,Mins to SOHO-Good sized 2 Bdrms w/ real comfy beds,Entire apartment,1810.0,Kandee,1350,4.5,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '󰀄
188 Reviews', '󱄁
1 Reference', '󰀙
Verified']","[""['6 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\U000f0004\n188 Reviews'"", "" '\U000f1101\n1 Reference'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
250,257.0,Manhattan,Cool room in Manhattan - Comfortable for 3 guests,Private room in apartment,1950.0,Ana,1390,4.5,"['3 guests', '1 bedroom', '3 beds', '1 shared bath', '󰀄
334 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 shared bath'"", "" '\U000f0004\n334 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
251,258.0,Manhattan,"New Apt near Central Park, Broadway, Museums",Entire apartment,1450.0,Angela,580,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
64 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n64 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
252,259.0,Manhattan,2 BR in Times Sq: The heart of NYC,Entire apartment,2750.0,Layka,1920,4.5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
344 Reviews', '󱄁
4 References', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n344 Reviews'"", "" '\U000f1101\n4 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
253,260.0,Manhattan,"BEST LOWER EAST SIDE APT, SLEEPS 4",Entire apartment,2450.0,Ren,2090,4.5,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
252 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n252 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
254,261.0,Manhattan,Beautiful GRDN Apt Chelsea Meatpacking Min 30 days,Entire townhouse,2500.0,Vanessa,1950,5.0,"['4 guests', '2 bedrooms', '3 beds', '1 bath', '󰀄
200 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n200 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
255,262.0,Manhattan,Luxury Apt in EV - 2 Spacious BR + 2 Full Bath!!,Entire apartment,1990.0,Em,1700,5.0,"['5 guests', '2 bedrooms', '2 beds', '2 baths', '󰀄
180 Reviews', '󱄁
6 References', '󰀙
Verified']","[""['5 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '2 baths'"", "" '\U000f0004\n180 Reviews'"", "" '\U000f1101\n6 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
256,263.0,Manhattan,LARGE LOFT STUDIO- CENTER MANHATTAN,Entire apartment,1490.0,Ale,1460,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
152 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n152 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
257,264.0,Manhattan,Great studio in Hells Kitchen!!!,Entire apartment,1490.0,Greg,590,4.5,"['4 guests', 'Studio', '2 beds', '1 bath', '󰀄
59 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n59 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
258,265.0,Manhattan,UNBEATABLE LOCATION/TIMES SQUARE!,Entire apartment,2390.0,Leo,1370,4.5,"['4 guests', '2 bedrooms', '0 beds', '1 bath', '󰀄
137 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '0 beds'"", "" '1 bath'"", "" '\U000f0004\n137 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
259,266.0,Manhattan,Quaint and Large midtown 1Bed next to Empire state,Entire apartment,1540.0,Jamie,800,5.0,"['5 guests', '1 bedroom', '1 bed', '1 bath', '󰀄
80 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\U000f0004\n80 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
260,267.0,Manhattan,Spacious 1 BR Apartment - Sleeps 4,Entire apartment,2200.0,Patrick,1800,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
189 Reviews', '󱄁
2 References', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n189 Reviews'"", "" '\U000f1101\n2 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
261,268.0,Manhattan,THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES,Entire apartment,1650.0,Emma,1140,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
114 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n114 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
262,269.0,Manhattan,Fun Unique Spacious Midtown Getaway,Entire apartment,2450.0,William,1410,4.5,"['6 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
142 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n142 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
263,270.0,Manhattan,Beautiful Apartment near Times Square Central Park,Entire apartment,2410.0,Ash,940,4.5,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
94 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n94 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
264,271.0,Manhattan,Entire floor. Private bathroom. Great location.,Private room in apartment,1490.0,Elena,1840,4.5,"['3 guests', '1 bedroom', '3 beds', '1 private bath', '󰀄
300 Reviews', '󰀙
Verified']","[""['3 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 private bath'"", "" '\U000f0004\n300 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
265,272.0,Manhattan,Stunning 2bed/2bath Steps to Central Park,Entire apartment,1990.0,Chris,310,4.5,"['8 guests', '2 bedrooms', '2 beds', '2 baths', '󰀄
45 Reviews', '󰀙
Verified']","[""['8 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '2 baths'"", "" '\U000f0004\n45 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
266,273.0,Manhattan,Charming Duplex in Manhattan,Entire apartment,1550.0,Chito And Xavier,770,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '󰀄
169 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n169 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
267,274.0,Manhattan,Bright and stylish bedroom 20min from Times Square,Private room in condominium,720.0,Max And Kathy,220,5.0,"['4 guests', '1 bedroom', '2 beds', '2 shared baths', '󰀄
89 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '2 shared baths'"", "" '\U000f0004\n89 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
268,275.0,Manhattan,Unique Spacious 2BDR in NOLITA,Entire apartment,1920.0,Jay,1630,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '󰀄
175 Reviews', '󰀙
Verified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n175 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
269,276.0,Manhattan,Artsy Harlem Guest Space,Entire guest suite,1250.0,Laura,2240,4.5,"['4 guests', 'Studio', '3 beds', '1 bath', '󰀄
224 Reviews', '󰀙
Verified']","[""['4 guests'"", "" 'Studio'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n224 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
270,277.0,Manhattan,Beautiful APT in the HEART of Manhattan!!!!,Entire apartment,1420.0,Salvatore,2200,4.5,"['3 guests', 'Studio', '2 beds', '1 bath', '󰀄
245 Reviews', '󰀙
Verified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\U000f0004\n245 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
271,278.0,Manhattan,Lovely Deluxe Studio near Lincoln Center,Entire apartment,1910.0,Albar,2260,4.5,"['5 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
237 Reviews', '󰀙
Verified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n237 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
272,279.0,Manhattan,Gorgeous Renovated 1BR - close to Central Park,Entire apartment,1400.0,Kate,780,4.5,"['6 guests', '1 bedroom', '3 beds', '1 bath', '󰀄
78 Reviews', '󰀙
Verified']","[""['6 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\U000f0004\n78 Reviews'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
273,280.0,Manhattan,"Big 1st Meal, Kind Host, Ace Space",Private room in apartment,1340.0,Nancy,3140,4.5,"['3 guests', '2 bedrooms', '3 beds', '1 shared bath', '󰀄
328 Reviews', '󱄁
3 References', '󰀙
Verified']","[""['3 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 shared bath'"", "" '\U000f0004\n328 Reviews'"", "" '\U000f1101\n3 References'"", "" '\U000f0019\nVerified']""]",[,"""",[,',,,
